"GEOID","ls","p","borough"
"36005028600",0.158402658398284,0.000114570517728877,"Bronx"
"36005028700",0.371005178551164,0.000387646433925884,"Bronx"
"36005028800",0.223546624047332,0.000333031250686482,"Bronx"
"36005028900",0.466670839865238,0.000583290156996806,"Bronx"
"36005029301",0.235242666452614,0.000214334252446184,"Bronx"
"36005029302",0.14767245136163,0.000607563571769873,"Bronx"
"36005029500",0.0439983644571096,0.000531102315234711,"Bronx"
"36005029600",0.101366244545022,0.000249287969719401,"Bronx"
"36005029700",0.197366247869992,0.000463136753870123,"Bronx"
"36005030000",0.12673086919734,0.000805634636318102,"Bronx"
"36005030100",0.230114219362498,0.00017853096565591,"Bronx"
"36005030201",0.578635811890494,0.000402210482789724,"Bronx"
"36005030202",0.73837244798816,0.000644701896372666,"Bronx"
"36005030701",0.222178870418407,0.000649677946401145,"Bronx"
"36005030900",0.398760246400632,0.000424784758528677,"Bronx"
"36005031000",0.0304517879513184,0.000551249249496357,"Bronx"
"36005031200",0.0577033132369828,0.000209600936565436,"Bronx"
"36005031400",0.183847878757864,0.000271740878384488,"Bronx"
"36005031600",0.0687245507954517,0.000202925747502842,"Bronx"
"36005031800",0.00563713910159818,0.0002310829086396,"Bronx"
"36005032300",0.233164069992982,0.000545666364098552,"Bronx"
"36005032400",0.230288060867745,0.000334730389720597,"Bronx"
"36005032600",0.0227642660818881,0.0004043950901193,"Bronx"
"36005032800",0.181517617073017,0.000469811942932716,"Bronx"
"36005033000",0.115174673521329,0.000596640535121993,"Bronx"
"36005033201",0.317616314694884,0.000606228533957354,"Bronx"
"36005033202",0.268202960619154,0.000433644554920846,"Bronx"
"36005033500",0.139990988002289,0.000242612780656807,"Bronx"
"36005033601",0.377445989970736,0.000588630308246881,"Bronx"
"36005033602",0.441545829330957,0.000154014816735112,"Bronx"
"36005033700",0.303015755027111,0.000303417684663341,"Bronx"
"36005033801",0.374869235132105,0.000229141035457755,"Bronx"
"36005033802",0.421952241355217,0.000219553036622393,"Bronx"
"36005034000",0.372038594611844,0.000655018097651219,"Bronx"
"36005034200",0.433289911380255,0.000196857393809575,"Bronx"
"36005034300",0.19418829224957,0.000203653949946034,"Bronx"
"36005034400",0.363195196021624,0.000237636730628328,"Bronx"
"36005034500",0.149080206310143,0.000455126526995011,"Bronx"
"36005034800",0.376380351267959,0.000745800668902491,"Bronx"
"36005035000",0.537041896618645,0.000247710197759151,"Bronx"
"36005035100",0.229464914765241,0.000432430884182193,"Bronx"
"36005035600",0.949591362359317,0.000259240069776358,"Bronx"
"36005035800",0.70763916807399,0.000896295840495508,"Bronx"
"36005035900",0.60237116305572,0.000329147504322792,"Bronx"
"36005036000",0.422876255477964,0.000379393472903041,"Bronx"
"36005036100",0.6756217289831,0.000664848830634312,"Bronx"
"36005036300",0.54104091958257,0.000793376561857703,"Bronx"
"36005036400",1.25911722381564,0.000292616015089326,"Bronx"
"36005036501",0.641886834154571,0.00049809047114334,"Bronx"
"36005036502",0.614901159989216,0.000311063810316857,"Bronx"
"36005036800",0.850223605021086,0.000203047114576707,"Bronx"
"36005036901",0.676421056689175,0.000241277742844288,"Bronx"
"36005036902",0.524470806682914,0.000291159610202942,"Bronx"
"36005037000",0.71532163776989,0.000285940826026732,"Bronx"
"36005037100",0.537664730958068,0.000492143484523938,"Bronx"
